Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,1820,1310560.5527,324827.1967,280854.31923
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,62,636565.69355,160356.75806,134189.51613
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",12404,849614.46816,200188.35585,174131.0807
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",14906,548593.34557,123708.36086,108415.78224
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1179,731272.01951,144584.70483,114593.99576
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,344,382937.69186,60909.296512,45668.25
National,,National,007,LUNG TRANSPLANT,561,871404.66488,146230.38146,118323.93761
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,287,529222.80836,89462.986063,51667.926829
National,,National,010,PANCREAS TRANSPLANT,26,313208.46154,68431.923077,32822.730769
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1784,227010.91368,55249.746076,46237.868834
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1790,187980.43464,43191.667039,35420.459777
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",412,129787.31796,28897.618932,22598.558252
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1119,485026.33959,138814.47096,118005.65773
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,2025,249452.09679,71143.455309,57203.912099
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,39,199944.12821,47856.74359,39863.487179
National,,National,018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,806,1427305.3561,358794.65509,332457.09429
National,,National,019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,86,656109.7907,98639.802326,62310.767442
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,2103,393256.23157,97798.880647,87885.53067
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,541,267797.21627,67399.768946,58613.05915
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,199,178521.16583,45815.38191,37228.19598
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,12510,234747.65332,51545.660032,44707.994804
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4798,161712.54502,34387.759066,29541.735723
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,21305,195208.90735,42406.929406,36064.263788
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,7053,134318.31561,29017.244151,24095.023678
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,7533,113472.07381,24202.601487,19136.748573
National,,National,028,SPINAL PROCEDURES WITH MCC,2258,244016.58105,55167.702391,47113.978742
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3064,146025.57311,30661.186684,25324.185705
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,951,102044.95584,21141.839117,17134.229232
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,962,156298.34719,39586.714137,33202.299376
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,1926,89472.461578,20575.437695,17153.259605
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2375,72340.077053,15435.814316,12969.723789
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1416,165375.22881,34463.968927,30518.252825
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,4182,92117.882592,19273.027977,16656.241033
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,5590,72488.65653,14910.141503,12676.130233
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,2850,148799.58526,29151.484912,25596.385263
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,8801,74760.465629,13934.184865,11387.483581
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,15335,52925.995957,9430.041539,7281.5274209
National,,National,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3805,158307.53771,36142.582392,30834.267543
National,,National,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",5193,102490.27325,20714.129405,17081.610437
National,,National,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1768,83060.729072,16871.296946,13538.371606
National,,National,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,1018,76498.975442,19590.486248,16188.979371
National,,National,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,194,44234.809278,10399.226804,7925.7474227
National,,National,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,11050,61013.11819,13147.981538,10321.495475
National,,National,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,2772,47576.601732,9952.9873737,7663.966811
National,,National,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,12328,78948.838092,19833.13733,16889.300779
National,,National,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,24822,47412.297841,12296.58851,10046.79776
National,,National,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,739,73743.50203,18008.254398,14520.166441
National,,National,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1887,49415.593005,11277.434552,8192.0943296
National,,National,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,1257,41275.053302,9143.5584726,6285.8766905
National,,National,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",4701,131577.2793,25281.185067,21989.606041
National,,National,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",8425,92936.298516,16939.319763,13872.906231
National,,National,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",1640,79525.27622,15357.671341,11547.230488
National,,National,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,70471,83076.470037,17200.884633,14459.265159
National,,National,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,84123,47265.810183,9137.0213378,7002.3948504
National,,National,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,22553,35992.499268,6655.8634328,4608.4850796
National,,National,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1038,66695.080925,12828.674374,10708.391137
National,,National,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,3928,45911.635947,7982.3419043,6095.7889511
National,,National,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,27371,41447.964999,7023.2518359,5326.0431113
National,,National,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,17395,67133.818396,14911.755504,12710.534694
National,,National,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,16164,43658.139446,9077.7016209,7254.8661222
National,,National,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,2986,35216.510717,6915.8874749,5202.2273945
National,,National,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,5674,60518.194395,14088.63976,11685.98872
National,,National,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,12069,45189.824509,9751.2885077,7551.9814401
National,,National,075,VIRAL MENINGITIS WITH CC/MCC,434,76318.758065,14985.152074,12132.794931
National,,National,076,VIRAL MENINGITIS WITHOUT CC/MCC,91,39384.56044,8981.1428571,5924.6703297
National,,National,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1629,66737.396562,13712.187845,11672.467158
National,,National,078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,2092,46248.942639,8404.4043977,6597.8508604
National,,National,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,313,36086.728435,6397.2523962,4627
National,,National,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,876,84863.744292,19939.216895,17387.009132
National,,National,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,393,39436.038168,7438.6743003,5675.1806616
National,,National,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,8336,98244.732726,22292.113244,19020.974688
National,,National,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,9563,60220.599184,12837.387117,10466.782495
National,,National,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,3822,42564.987179,9084.8165882,6786.7454212
National,,National,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,7999,95833.975247,20573.032004,17781.982873
National,,National,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,13023,56937.467404,11573.106965,9305.8764494
National,,National,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,5626,41194.186456,8168.1798791,6179.6958763
National,,National,088,CONCUSSION WITH MCC,509,69954.159136,12819.652259,10561.304519
National,,National,089,CONCUSSION WITH CC,1291,55602.207591,10051.764524,7258.4554609
National,,National,090,CONCUSSION WITHOUT CC/MCC,391,41014.869565,8623.5140665,5863.2046036
